sentence,target
打給,phone
撥打,phone
我要打電話給,phone
幫我Call一下桌機,phone
打分機,phone
請幫我聯絡一下,phone
幫我打給,phone
可以幫我打給,phone
請幫我打點話給某同仁,phone
我要打電話給某同仁,phone
打電話給某同仁,phone
Call,phone
撥打給,phone
phone,phone
呼叫,phone
幫我查一下分機,phone
幫我打電話給,phone
call out,phone
請幫忙撥電話給,phone
請幫忙打給,phone
請找分機 打到桌機,phone
幫我打電話到手機,phone
請幫我接通分機,phone
請幫我找,phone
請先幫我打給她 ,phone
請撥,phone
幫我找,phone
Call,phone
請撥給,phone
請撥打,phone
有事找,phone
幫我找,phone
幫我聯絡,phone
幫我找,phone
播個電話給,phone
播一通電話給,phone
幫我撥,phone
我要找,phone
幫我撥電話,phone
撥電話給,phone
請幫我聯絡,phone
電話聯絡,phone
聯繫,phone
call to,phone
幫我接通,phone
打電話到桌機,phone
請幫我找,phone
可以請你幫我打電話給,phone
請幫我聯絡,phone
請撥電話給,phone
打給,phone
聯絡,phone
幫我打分機,phone
幫我撥電話給,phone
幫我call,phone
請轉接給,phone
請幫我聯絡同仁,phone
請幫我撥打分機,phone
幫我找,phone
幫我call,phone
可以幫我找,phone
請幫我用MVPN聯絡,phone
請幫我call,phone
請打行動電話,phone
請打家裡電話,phone
請幫我打電話給,phone
幫我CALL一下,phone
幫我找一下,phone
撥個電話給,phone
幫我撥李振忠手機,phone
幫我打給,phone
幫我打分機,phone
撥出給,phone
撥號給,phone
撥給,phone
接通,phone
請幫我請假,leave
我要請假,leave
可以幫我請假嗎,leave
我明天早上有事，幫我請特休假,leave
我昨天遲到十分鐘，幫我處理一下,leave
我下週一要外出，麻煩幫我請一下公假,leave
我要請假，請幫我填假單,leave
請幫我填一下假單,leave
請幫我請假,leave
可以幫我請假嗎,leave
麻煩你幫我請假,leave
幫我請假 ,leave
身體不舒服 病假,leave
我想請假,leave
明天幫我請假,leave
幫我請假,leave
我明天沒有要進公司，你再幫我填一下單子,leave
你上系統幫我請個假,leave
請假的事情就麻煩你了,leave
要請假,leave
填個特休假單,leave
後天請事假一天,leave
請幫我今天請假,leave
下禮拜需要請假 請幫忙送出請假單,leave
我要請假，請幫我開假單,leave
我明天有事，請記得幫我請假,leave
請特休假兩天,leave
明天請假一天,leave
請明天下午的假,leave
請幫我請一天特休假,leave
請一天假,leave
請一日特休,leave
星期五早上請假半天,leave
後天請下午,leave
要去看醫生,leave
要先走接小孩,leave
我明天起想請特休假3天,leave
幫我請特休假，從明天起3天,leave
填假單,leave
請事假半天,leave
請事假一天,leave
請一天事假,leave
請3天的長假,leave
請幫我請明天一天特休,leave
我生病了幫我請假,leave
我明天有事，想請事假,leave
身體不適，請假,leave
我想要去旅行，幫我請特休,leave
今天我去外面上課，我想請公出假，代理人幫我填陳俊宏,leave
我今天有事，無法去公司,leave
不進公司了,leave
下午要請假半天,leave
要請2小時特休,leave
我下周一要請假,leave
幫我請明天特休假1天,leave
公出,leave
今天遲到了,leave
我出勤有問題，幫我請假,leave
請個事假,leave
休長假,leave
處理出勤異常,leave
我想要請特休假一週，麻煩幫忙處理,leave
申請休假,leave
寫假單,leave
請假半小時,leave
請特休假,leave
請特休,leave
送假單,leave
補假單,leave
請幫我送假單,leave
請事假,leave
請病假,leave
請假,leave
請特休假,leave
請公假,leave
幫我請假,leave
填明天的假單,leave
請幫我完成請假申請,leave
幫我跟老闆請個假,leave
不進公司,leave
不想上班,leave
幫我請假,leave
請假的事情,leave
請假你能幫忙嗎,leave
請病假,leave
事假,leave
請幫我請,leave
早上要請假修車,leave
明天要請假，我要看醫生,leave
幫我請出差假 ,leave
不來公司,leave
不能來公司,leave
我生病了，不能去公司,leave
特休假,leave
請幫我查詢哪天還沒請假,leave
請假,leave
可能請個假,leave
想請假,leave
我要請特休假,leave
幫我送假單,leave
請特休8小時,leave
請幫我請7/12特休8小時,leave
特休8小時,leave
能否幫忙請個假,leave
幫我上BPM開假單,leave
休假,leave
要請假,leave
我要請假,leave
我週三要請假,leave
不想上班,leave
明天不來,leave
送假單,leave
申請休假,leave
天氣,weather
天氣狀況,weather
氣溫幾度,weather
有沒有下雨,weather
會下雨嗎,weather
外面天氣,weather
天氣,weather
天氣預報,weather
幾度,weather
天氣冷,weather
要帶雨傘,weather
報告氣象,weather
外面天氣如何,weather
很熱嗎,weather
需要帶傘,weather
會很熱,weather
我出門需要帶外套,weather
會不會下雨,weather
週末天氣如何,weather
我想知道台北的天氣,weather
出門會下雨嗎,weather
外面太陽很大,weather
什麼時候放晴,weather
會下雨,weather
天氣好,weather
降雨機率多少,weather
下雨機率如何,weather
需要擦防曬嗎,weather
明天幾度,weather
颱風什麼時候到,weather
外面氣溫幾度,weather
會不會下雨,weather
最近是否有颱風豪大雨,weather
風大不大,weather
會下雪,weather
給我這個星期的天氣預報,weather
這個星期什麼時候會有颱風,weather
氣溫如何,weather
濕度,weather
最高溫幾度,weather
要帶雨衣,weather
大太陽,weather
旅遊天氣,weather
最高溫跟最低溫,weather
降雨機率跟溼度,weather
平均溫度,weather
天氣幾度,weather
幫忙看看天氣預報,weather
要穿羽毛外套,weather
太陽大,weather
一週天氣預報,weather
請給我現在天氣的資訊,weather
室外幾度,weather
幾度,weather
