sentence,target
打給,phone
撥打,phone
打電話,phone
查電話,phone
查分機,phone
打分機,phone
撥打,phone
打給,phone
播打,phone
打給她 ,phone
call,phone
聯絡,phone
聯絡同事,phone
phone,phone
呼叫,phone
聯繫,phone
接通,phone
撥號,phone
打桌機,phone
打分機,phone
撥個電話,phone
播個電話,phone
查個電話,phone
打個電話,phone
MVPN,phone
打個分機,phone
打個MVPN,phone
請假,leave
特休假,leave
遲到,leave
填假單,leave
請假,leave
身體不舒服病假,leave
填個特休假單,leave
事假,leave
請假單,leave
開假單,leave
有事請假,leave
請假半天,leave
要去看醫生,leave
要先走接小孩,leave
填假單,leave
長假,leave
生病了幫我請假,leave
有事請事假,leave
身體不適請假,leave
旅行請特休,leave
請公出假,leave
有事無法去公司,leave
不進公司了,leave
請個假,leave
要請2小時特休,leave
公出,leave
出勤,leave
處理出勤異常,leave
申請休假,leave
寫假單,leave
送假單,leave
補假單,leave
送假單,leave
病假,leave
出差,leave
不來公司,leave
不能來公司,leave
生病了不能去公司,leave
休假,leave
天氣,weather
天氣狀況,weather
氣溫幾度,weather
下雨,weather
天氣預報,weather
天氣冷,weather
雨傘,weather
氣象,weather
天氣很熱,weather
帶傘,weather
會很熱,weather
帶外套,weather
天氣如何,weather
太陽很大,weather
放晴,weather
降雨機率,weather
擦防曬,weather
下雨,weather
豪大雨,weather
風大不大,weather
下雪,weather
颱風,weather
氣溫,weather
溫度,weather
濕度,weather
高溫幾度,weather
雨衣,weather
大太陽,weather
旅遊天氣,weather
溼度,weather
穿外套,weather
天氣資訊,weather
天氣涼,weather
